strain	mean.TOF
AB1	-17.7161932668073
BRC20067	-6.88163650063639
BRC20263	26.5228300630297
CB4852	-11.531335024918
CB4854	14.1318782552262
CB4856	24.7634568994885
CB4932	73.5793126362784
CX11262	-2.30737951578808
CX11264	17.7014572779563
CX11271	12.4626143441013
CX11276	6.65828087232956
CX11285	-24.6963875335399
CX11292	41.4066049918702
CX11307	6.19825369143506
CX11314	-13.3420021918818
CX11315	41.0067563261987
DL200	17.9266309854559
DL226	0.585480098239695
DL238	37.9383841634863
ECA189	47.7125367581392
ECA248	-16.891140978764
ECA250	11.0606205386099
ECA251	-5.47992712410093
ECA348	5.44184116747957
ECA349	-39.1118566034191
ECA36	66.5485486726477
ECA369	-31.1531678023375
ECA372	-22.7947196483224
ECA396	-49.5160742298749
ED3005	-29.7453800292923
ED3011	20.4216572726707
ED3017	30.9388302446041
ED3040	4.35021289279656
ED3046	-27.1785927598422
ED3048	22.3229622953903
ED3049	-32.8758615825646
ED3052	-25.0075653884331
ED3073	1.29978330224933
ED3077	46.3699937366178
EG4347	20.4393323956795
EG4349	36.9494582304193
EG4725	51.0581575323212
EG4946	4.16125401807553
GXW1	19.0646650204365
JT11398	26.9594235267667
JU1088	13.7911137854988
JU1172	-1.48648341393808
JU1212	56.2214920886673
JU1242	-15.4651968749802
JU1246	30.931773822219
JU1249	-1.031282457012
JU1395	2.65288327991122
JU1409	-7.38275184020338
JU1440	-32.7035112136836
JU1491	43.7069912030757
JU1543	19.4830854843024
JU1568	18.5148580620748
JU1580	39.5450779080562
JU1581	-19.4582828050533
JU1652	-14.540518289242
JU1666	24.6984568808804
JU1792	12.5974668703822
JU1793	39.6688716027615
JU1808	-11.9628834750398
JU1896	5.76041703663408
JU1934	-14.4911704718574
JU2007	23.1146951559457
JU2016	-0.436050497440215
JU2017	10.122596505332
JU2106	-53.3956276376054
JU2131	-8.66796676005505
JU2141	13.9276928132736
JU2234	-45.8969925057222
JU2250	-39.9591743804781
JU2257	-0.925325147408908
JU2464	-35.1314129510565
JU2466	-2.1049599382922
JU2513	-10.2117020209747
JU2522	-2.3089735960331
JU2526	-14.4918469750426
JU2534	-12.5542627417097
JU2565	-23.0391617002626
JU2566	-37.453097529493
JU2570	-0.0352643030171698
JU2572	-12.6202416483981
JU2575	-32.9272902245114
JU2576	-34.0995706813466
JU2578	24.3443503975686
JU258	-19.8450950078093
JU2581	-31.8731813784731
JU2586	37.9055816177216
JU2587	-17.2957843612045
JU2592	13.8487754026291
JU2593	-11.2411354290106
JU2600	7.04883124776321
JU2610	2.95223856530775
JU2619	30.3724663889172
JU2800	-10.5290382890533
JU2811	38.4185633315051
JU2825	13.2671728635593
JU2829	-14.9593801291844
JU2838	-32.1648785641739
JU2841	5.73381354707477
JU2853	-2.87280940090451
JU2862	-3.14073635851433
JU2866	-9.2772039260757
JU2878	50.4407413861753
JU2879	-14.7902209213956
JU2906	-9.38747728025218
JU2907	9.64891980245455
JU310	1.21050199199027
JU311	13.7632623109776
JU3125	16.2207134183841
JU3127	12.2601881045879
JU3128	-9.25905085585087
JU3132	-20.01306793709
JU3134	-3.89881427843573
JU3135	27.528976624187
JU3137	-18.1723275640642
JU3140	-11.562645157162
JU3144	2.41751067360213
JU323	-12.5815456108999
JU346	-15.9895196918091
JU360	-59.5948413478982
JU367	-7.0741009711865
JU393	15.5060096254879
JU394	1.33098428538693
JU397	-23.6250137640261
JU406	9.85372482757931
JU440	19.4507400461696
JU561	-26.4635181897329
JU642	12.88175610586
JU751	51.5640832083084
JU774	-11.3128088060163
JU775	-21.5614077411215
JU778	-27.3539883709537
JU782	29.312417735323
JU792	-42.6307199806628
JU830	8.10705930860463
KR314	-23.7560678126551
LKC34	1.161565253882
MY1	9.27409442543597
MY10	-6.37023993160268
MY16	-19.8937143979638
MY18	-31.2945092810553
MY2147	-12.3276300893855
MY2212	40.1248811285999
MY23	-33.8993191563075
MY2530	68.6044998368227
MY2535	40.5805580816523
MY2573	-10.677711417681
MY2693	-8.81152056717734
MY2713	-1.49644664977713
MY2741	-20.4458701784707
MY518	-3.19762864144065
MY679	21.4852773092938
MY772	-2.42998544309294
MY920	36.6997127727089
NIC1049	-36.3046857136661
NIC1107	16.8459954392458
NIC166	-12.1236644387966
NIC195	23.5623532172794
NIC199	-32.434170894392
NIC207	-23.0061540394589
NIC231	7.65578429278136
NIC236	38.9845143411431
NIC242	-53.2959303846272
NIC251	-37.3844885890259
NIC252	24.6811039731909
NIC256	5.29300580516766
NIC258	-19.0303898221872
NIC259	-39.4898933267264
NIC260	-18.1225014759647
NIC261	19.3189623305798
NIC262	-41.4998300642036
NIC265	5.08015914234436
NIC266	68.2950116527143
NIC267	-11.3565008995174
NIC268	-7.55316229958235
NIC269	-17.3219497853436
NIC271	-5.79576997853147
NIC272	-12.6442744145892
NIC274	-20.2425010960683
NIC275	4.80912298609522
NIC276	-1.31730833017798
NIC3	16.1696890708133
NIC501	9.44125831727298
NIC511	1.35401117521139
NIC514	-34.4781013751948
NIC515	7.55018587088968
NIC522	-22.5026975080221
NIC526	-10.3648219465083
NIC527	-38.8443594124226
PB303	22.7967196510319
PS2025	16.3068015175363
PX179	15.1521287442368
QG556	2.04790451055317
QG557	-6.7392451510878
QX1212	3.29850358629834
QX1233	-14.7471247956332
QX1791	-20.6248459138669
QX1792	-49.1001171025221
QX1793	-4.99578749061721
QX1794	6.53832671142895
RC301	43.4375013989095
WN2001	-37.6844599612776
WN2033	0.0504481959183375
WN2050	58.6870848018883
XZ1513	-36.8032476459651
XZ1514	12.0262111463291
